Tickers,Percentage_change
HCLTECH.NS,20.1797936911039
LT.NS,16.81830764422373
RELIANCE.NS,16.665985688646035
AXISBANK.NS,11.848078039127822
INFY.NS,11.398065201285894
TITAN.NS,10.958608015758312
ICICIBANK.NS,10.273319673073253
TCS.NS,8.268604399562896
SBIN.NS,7.400308309702175
MARUTI.NS,7.026008242357541
HDFCBANK.NS,6.616856168707624
BHARTIARTL.NS,4.964139499836937
NESTLEIND.NS,4.213602274703395
WIPRO.NS,3.5453597497393115
ITC.NS,2.929665866715894
HINDUNILVR.NS,0.5937936905099698
SUNPHARMA.NS,-0.24592007904858149
ULTRACEMCO.NS,-0.7098398008475288
KOTAKBANK.NS,-1.600987571516541
ASIANPAINT.NS,-2.757352828679505
